All Transactions Report Created: 2018-08-15 22:57:58 -0500
,
﻿Filter Criteria:,All Dates
,All Accounts
,Any Status
,Selected Transactions
,
﻿,"Split","Date","Type","Action","Check #","Security","Payee","Description","Category","Comm/Fee","Shares","Amount","Account","Memo/Notes"
﻿,,"8/13/2018","Payment/Deposit","",,"","Google FIber","Bills & Utilities:Internet","Bills & Utilities:Internet","",,"-195.40","Discover 3128(6)",
﻿,,"8/13/2018","Payment/Deposit","",,"","Joe Kc Bbq","Food & Dining:Restaurants","Food & Dining:Restaurants","",,"-34.11","Discover 3128(6)",
﻿,,"8/13/2018","Payment/Deposit","",,"","Amazon Kindle","Shopping:Books","Shopping:Books","",,"-9.68","Discover 3128(6)",
﻿,,"8/13/2018","Payment/Deposit","",,"","Amazon Kindle","Shopping:Books","Shopping:Books","",,"-8.99","Discover 3128(6)",
﻿,,"8/13/2018","Payment/Deposit","",,"","Wild Birds Unlimited","Pets","Pets","",,"-14.96","Discover 3128(6)",
﻿,,"8/11/2018","Payment/Deposit","",,"","Cvs","Health & Fitness:Pharmacy","Health & Fitness:Pharmacy","",,"-26.06","Discover 3128(6)",
﻿,,"8/11/2018","Payment/Deposit","",,"","Wal-Mart","Shopping","Shopping","",,"-47.85","Discover 3128(6)",
﻿,,"8/11/2018","Payment/Deposit","",,"","Loan Nissan Leaf","Transfer:[Checking]","Transfer:[Checking]","",,"0.00","Loan Nissan Leaf",
﻿,,"8/11/2018","Payment/Deposit","",,"","Loan Nissan Leaf","Transfer:[Checking]","Transfer:[Checking]","",,"618.58","Loan Nissan Leaf",
﻿,"S","8/11/2018","Payment/Deposit","Sched",,"","Loan Nissan Leaf","Transfer:[Loan Nissan Leaf]","Transfer:[Loan Nissan Leaf]","",,"-618.58","Checking",
﻿,"S","8/11/2018","Payment/Deposit","Sched",,"","Loan Nissan Leaf","Auto & Transport:Auto Payment:Interest","Auto & Transport:Auto Payment:Interest","",,"-19.31","Checking",
﻿,"S","8/11/2018","Payment/Deposit","Sched",,"","Loan Nissan Leaf","Transfer:[Loan Nissan Leaf]","Transfer:[Loan Nissan Leaf]","",,"0.00","Checking",
﻿,"S","8/11/2018","Payment/Deposit","Sched",,"","Loan Nissan Leaf","Auto & Transport:Auto Payment","Auto & Transport:Auto Payment","",,"0.00","Checking",
﻿,,"8/10/2018","Payment/Deposit","",,"","Cvs","Health & Fitness:Pharmacy","Health & Fitness:Pharmacy","",,"-137.55","Discover 3128(6)",
﻿,,"8/9/2018","Payment/Deposit","",,"","Don Perdue Automotive","Auto & Transport:Service & Parts","Auto & Transport:Service & Parts","",,"-316.46","Discover 3128(6)",
﻿,,"8/8/2018","Payment/Deposit","",,"","Nissan","Auto:Service","Auto:Service","",,"-468.19","Discover4221(6)",
﻿,,"8/8/2018","Payment/Deposit","",,"","USPS","Business Expenses:Postage and Delivery (Business)","Business Expenses:Postage and Delivery (Business)","",,"-3.52","Discover 3128(6)",
﻿,,"8/8/2018","Payment/Deposit","",,"","Dollar Tree","Shopping","Shopping","",,"-5.46","Discover 3128(6)",
﻿,,"8/8/2018","Payment/Deposit","",,"","Walgreens","Health & Fitness:Pharmacy","Health & Fitness:Pharmacy","",,"-8.66","Discover 3128(6)",
﻿,,"8/7/2018","Payment/Deposit","",,"","Arby's","Food & Dining:Fast Food","Food & Dining:Fast Food","",,"-10.45","Discover 3128(6)",
﻿,,"8/7/2018","Payment/Deposit","",,"","Starbucks","Food & Dining:Coffee Shops","Food & Dining:Coffee Shops","",,"-7.73","Discover 3128(6)",
﻿,,"8/7/2018","Payment/Deposit","",,"","Firestone","Auto & Transport:Service & Parts","Auto & Transport:Service & Parts","",,"-48.42","Discover 3128(6)",
﻿,,"8/7/2018","Payment/Deposit","",,"","tide dry cleaners","Home","Home","",,"-18.35","Discover 3128(6)",
﻿,,"8/6/2018","Payment/Deposit","",,"","Amazon","Shopping","Shopping","",,"-11.99","Discover4221(6)",
﻿,,"8/5/2018","Payment/Deposit","",,"","Amazon","Shopping","Shopping","",,"-71.94","Discover 3128(6)",
﻿,,"8/5/2018","Payment/Deposit","",,"","THE ATHLETIC CLUB OF O OVERLAND","Membership","Membership","",,"-67.64","Discover 3128(6)",
﻿,,"8/4/2018","Payment/Deposit","",,"","DIRECTPAY FULL BALANCE","Transfer","Transfer","",,"1,149.70","Discover4221(6)",
﻿,,"8/4/2018","Payment/Deposit","",,"","Amazon Kindle","Shopping:Books","Shopping:Books","",,"-9.99","Discover 3128(6)",
﻿,,"8/4/2018","Payment/Deposit","",,"","Facebook","Business Expenses:Advertising (Business)","Business Expenses:Advertising (Business)","",,"-10.00","Discover 3128(6)",
﻿,,"8/4/2018","Payment/Deposit","",,"","Amazon","Shopping","Shopping","",,"-12.29","Discover 3128(6)",
﻿,,"8/3/2018","Payment/Deposit","CREDIT",,"","Interest","Int Inc","Int Inc","",,"22.15","AMEX Savings",
﻿,,"8/3/2018","Payment/Deposit","",,"","Amazon","Shopping","Shopping","",,"-9.49","Discover 3128(6)",
﻿,,"8/3/2018","Payment/Deposit","",,"","Dollar Tree","Shopping","Shopping","",,"-17.54","Discover 3128(6)",
﻿,,"8/2/2018","Payment/Deposit","",,"","McDonald's","Food & Dining:Fast Food","Food & Dining:Fast Food","",,"-4.26","Discover 3128(6)",
﻿,,"8/2/2018","Payment/Deposit","",,"","Chick-fil-a","Food & Dining:Fast Food","Food & Dining:Fast Food","",,"-4.35","Discover 3128(6)",
﻿,,"8/2/2018","Payment/Deposit","",,"","Wal-Mart","Shopping","Shopping","",,"-58.63","Discover 3128(6)",
﻿,,"8/2/2018","Payment/Deposit","",,"","Little Caesars","Food & Dining:Restaurants","Food & Dining:Restaurants","",,"-29.42","Discover 3128(6)",
﻿,,"8/2/2018","Payment/Deposit","",,"","Groupon","Shopping","Shopping","",,"-75.00","Discover 3128(6)",
﻿,,"8/2/2018","Payment/Deposit","CREDIT",,"","Account Promotion","Interest Inc","Interest Inc","",,"200.00","DiscoverSavings XX9454",
﻿,,"8/1/2018","Payment/Deposit","",,"","Home Depot","Home:Home Improvement","Home:Home Improvement","",,"-20.60","Discover 3128(6)",
﻿,,"8/1/2018","Payment/Deposit","",,"","Chick-fil-a","Food & Dining:Fast Food","Food & Dining:Fast Food","",,"-11.18","Discover 3128(6)",
﻿,,"8/1/2018","Payment/Deposit","",,"","Netflix","Entertainment:Movies & DVDs","Entertainment:Movies & DVDs","",,"-10.99","Discover 3128(6)",
﻿,,"8/1/2018","Payment/Deposit","",,"","Suburban Lawn & Garden Inc.","Business Expenses","Business Expenses","",,"-39.56","Discover 3128(6)",
﻿,,"8/1/2018","Payment/Deposit","",,"","Profile Overland P","Groceries","Groceries","",,"-64.87","Discover 3128(6)",
﻿,,"8/1/2018","Payment/Deposit","",,"","Deposit Capitol Federal","Transfer:[DiscoverSavings XX9454]","Transfer:[DiscoverSavings XX9454]","",,"-30,000.00","Checking",
﻿,,"8/1/2018","Payment/Deposit","CREDIT",,"","Deposit Capitol Federal","Transfer:[Checking]","Transfer:[Checking]","",,"30,000.00","DiscoverSavings XX9454",
﻿,,"7/31/2018","Payment/Deposit","",,"","IBM Paycheck","Transfer:[Savings]","Transfer:[Savings]","",,"262.50","Fidelity HSA XX5575","Medical savings plan"
﻿,,"7/31/2018","Payment/Deposit","",,"","IBM Paycheck","Transfer:[Savings]","Transfer:[Savings]","",,"339.20","IBM 401k Fidelity","contribution"
﻿,"S","7/31/2018","Payment/Deposit","EFT",,"","IBM Paycheck","Salary","Salary","",,"5,653.25","Savings","Gross pay"
﻿,"S","7/31/2018","Payment/Deposit","EFT",,"","IBM Paycheck","Salary","Salary","",,"78.54","Savings","Life Insurance (implied)"
﻿,"S","7/31/2018","Payment/Deposit","EFT",,"","IBM Paycheck","Tax:Medicare","Tax:Medicare","",,"-77.39","Savings","Paycheck"
﻿,"S","7/31/2018","Payment/Deposit","EFT",,"","IBM Paycheck","Tax:Soc Sec","Tax:Soc Sec","",,"-330.90","Savings","Paycheck"
﻿,"S","7/31/2018","Payment/Deposit","EFT",,"","IBM Paycheck","Tax:Fed","Tax:Fed","",,"-427.03","Savings","Paycheck"
﻿,"S","7/31/2018","Payment/Deposit","EFT",,"","IBM Paycheck","Tax:Kansas","Tax:Kansas","",,"-202.22","Savings","Paycheck"
﻿,"S","7/31/2018","Payment/Deposit","EFT",,"","IBM Paycheck","Transfer:[IBM 401k Fidelity]","Transfer:[IBM 401k Fidelity]","",,"-339.20","Savings","contribution"
﻿,"S","7/31/2018","Payment/Deposit","EFT",,"","IBM Paycheck","Insurance:Medical","Insurance:Medical","",,"-132.22","Savings","Health care (medical + dental)"
﻿,"S","7/31/2018","Payment/Deposit","EFT",,"","IBM Paycheck","Transfer:[Fidelity HSA XX5575]","Transfer:[Fidelity HSA XX5575]","",,"-262.50","Savings","Medical savings plan"
