All Transactions Report Created: 2018-06-30 18:02:18 -0500
,
Filter Criteria:,Last Year
,All Accounts
,Any Status
,
,"Scheduled","Split","Date","Type","Check #","Security","Payee","Category","Comm/Fee","Shares","Amount","Account","Memo/Notes"
,,,"12/31/2017","Interest Income",,"",,"Investments:Interest Income","",,"61.75","IBM Pension",""
,,,"12/31/2017","Payment/Deposit",,"","Balance Adjustment","Misc","",,"0.00","13914 Ash House",
,,,"12/31/2017","Payment/Deposit",,"","Balance Adjustment","Misc","",,"-1,000.00","2013 Leaf",
,,,"12/31/2017","Payment/Deposit",,"","Balance Adjustment","Misc","",,"-300.00","2003 Accord",
,,,"12/31/2017","Payment/Deposit",,"","Balance Adjustment","Misc","",,"-500.00","2006 Odyssey",
,,,"12/31/2017","Payment/Deposit",,"","Hen House","Groceries","",,"-81.58","Sears 9920(29)",
,,,"12/31/2017","Payment/Deposit",,"","Progressive","Insurance:Automobile","",,"-267.68","Discover4221(6)","MD car insurance"
,,,"12/31/2017","Payment/Deposit",,"","PAPA MURPHY'S KS023 LEAWOOD KS","Dining","",,"-34.91","Discover 3128(6)","crossroads roundrobin"
,,,"12/31/2017","Payment/Deposit",,"","INTEREST CREDITED DEPOSIT","Int Inc","",,"13.52","Savings",
,,,"12/31/2017","Payment/Deposit",,"","INTEREST CREDITED DEPOSIT","Int Inc","",,"0.62","Checking",
,,,"12/31/2017","Payment/Deposit",,"","Balance Adjustment","Cash","",,"-85.00","Terry Cash","bal 50"
,,,"12/31/2017","Payment/Deposit",,"","Balance Adjustment","Cash","",,"-170.00","Greg Cash","bal 30"
,,,"12/30/2017","Payment/Deposit",,"","Bo Lings","Dining:Family","",,"-44.47","Sears 9920(29)",
,,,"12/30/2017","Payment/Deposit",,"","HELLOFRESH NEW YORK CITYNY","Groceries","",,"-59.94","Discover 3128(6)",
,,,"12/30/2017","Payment/Deposit",,"","HELLOFRESH NEW YORK CITYNY","Groceries","",,"-10.00","Discover 3128(6)","upgrade"
,,,"12/29/2017","Reinvest Dividend",,"Vanguard LT TREASURY ADM","Vanguard LT TREASURY ADM","Investments:Reinvest Dividend","","19.841","0.00","IBM 401k Fidelity","DIVIDEND;VANG LT TREASURY ADM OQAX;as of 12/29/2017"
,,,"12/29/2017","Buy",,"Vanguard LT TREASURY ADM","Vanguard LT TREASURY ADM","Investments:Buy","","453.563","-5,628.72","IBM 401k Fidelity","CONTRIBUTION;VANG LT TREASURY ADM OQAX;as of 12/29/2017"
,,,"12/29/2017","Buy",,"Stable Value","Stable Value","Investments:Buy","","854.487","-5,628.73","IBM 401k Fidelity","CONTRIBUTION;INTEREST INCOME FUND OJFA;as of 12/29/2017"
,,,"12/29/2017","Buy",,"WELLS FARGO HSA FDIC INSURED NOT COVERED BY SIPC","WELLS FARGO HSA FDIC INSURED NOT COVERED BY SIPC","Investments:Buy","","0.13","-0.13","Fidelity HSA XX5575",""
,,,"12/29/2017","Buy",,"WELLS FARGO HSA FDIC INSURED NOT COVERED BY SIPC","WELLS FARGO HSA FDIC INSURED NOT COVERED BY SIPC","Investments:Buy","","214.58","-214.58","Fidelity HSA XX5575",""
,,,"12/29/2017","Payment/Deposit",,"","Baymont Inn Roswell","Vacation","",,"-466.80","Wyndham Visa 3374(8)","Atlanta"
,,,"12/29/2017","Payment/Deposit",,"","Shell","Auto:Fuel","",,"-14.53","BOA AAA 8044(1)","atlanta"
,,,"12/29/2017","Payment/Deposit",,"","Prisa Lhc Llc","Fix Me","",,"-3.00","BOA AAA 8044(1)",
