dohlcv Date,Open,High,Low,Close,Volume,Adj Close
2016-04-08,44.700001,44.700001,44.700001,44.700001,000,44.700001
2016-04-07,44.669998,44.669998,44.669998,44.669998,000,44.669998
2016-04-06,45.080002,45.080002,45.080002,45.080002,000,45.080002
2016-04-05,44.849998,44.849998,44.849998,44.849998,000,44.849998
2016-04-04,45.240002,45.240002,45.240002,45.240002,000,45.240002
2016-04-01,45.470001,45.470001,45.470001,45.470001,000,45.470001
2016-03-31,45.25,45.25,45.25,45.25,000,45.25
2016-03-30,45.380001,45.380001,45.380001,45.380001,000,45.380001
2016-03-29,45.200001,45.200001,45.200001,45.200001,000,45.200001
2016-03-28,44.860001,44.860001,44.860001,44.860001,000,44.860001
2016-03-24,44.810001,44.810001,44.810001,44.810001,000,44.810001
2016-03-23,44.830002,44.830002,44.830002,44.830002,000,44.830002
2016-03-22,45.490002,45.490002,45.490002,45.490002,000,45.270003
2016-03-21,45.57,45.57,45.57,45.57,000,45.349614
2016-03-18,45.52,45.52,45.52,45.52,000,45.299857
2016-03-17,45.349998,45.349998,45.349998,45.349998,000,45.130677
2016-03-16,44.709999,44.709999,44.709999,44.709999,000,44.493773
2016-03-15,44.369999,44.369999,44.369999,44.369999,000,44.155417
2016-03-14,44.48,44.48,44.48,44.48,000,44.264885
2016-03-11,44.540001,44.540001,44.540001,44.540001,000,44.324596
2016-03-10,44.040001,44.040001,44.040001,44.040001,000,43.827015
2016-03-09,44.02,44.02,44.02,44.02,000,43.807111
2016-03-08,43.759998,43.759998,43.759998,43.759998,000,43.548366
2016-03-07,44.32,44.32,44.32,44.32,000,44.105659
2016-03-04,44.02,44.02,44.02,44.02,000,43.807111
2016-03-03,43.75,43.75,43.75,43.75,000,43.538416
2016-03-02,43.57,43.57,43.57,43.57,000,43.359286
2016-03-01,43.330002,43.330002,43.330002,43.330002,000,43.120449
2016-02-29,42.490002,42.490002,42.490002,42.490002,000,42.284511
2016-02-26,42.720001,42.720001,42.720001,42.720001,000,42.513399
2016-02-25,42.779999,42.779999,42.779999,42.779999,000,42.573106
2016-02-24,42.310001,42.310001,42.310001,42.310001,000,42.105382
2016-02-23,42.09,42.09,42.09,42.09,000,41.886444
2016-02-22,42.52,42.52,42.52,42.52,000,42.314365
2016-02-19,41.849998,41.849998,41.849998,41.849998,000,41.647603
2016-02-18,41.900002,41.900002,41.900002,41.900002,000,41.697365
2016-02-17,41.799999,41.799999,41.799999,41.799999,000,41.597846
2016-02-16,41.169998,41.169998,41.169998,41.169998,000,40.970892
2016-02-12,40.459999,40.459999,40.459999,40.459999,000,40.264326
2016-02-11,39.880001,39.880001,39.880001,39.880001,000,39.687133
2016-02-10,40.23,40.23,40.23,40.23,000,40.035439
2016-02-09,40.610001,40.610001,40.610001,40.610001,000,40.413602
2016-02-08,40.650002,40.650002,40.650002,40.650002,000,40.45341
2016-02-05,40.93,40.93,40.93,40.93,000,40.732055
2016-02-04,41.23,41.23,41.23,41.23,000,41.030603
2016-02-03,40.77,40.77,40.77,40.77,000,40.572829
2016-02-02,40.27,40.27,40.27,40.27,000,40.075247
2016-02-01,41.009998,41.009998,41.009998,41.009998,000,40.811666
2016-01-29,41.130001,41.130001,41.130001,41.130001,000,40.931088
2016-01-28,40.080002,40.080002,40.080002,40.080002,000,39.886167
2016-01-27,39.880001,39.880001,39.880001,39.880001,000,39.687133
2016-01-26,40.09,40.09,40.09,40.09,000,39.896117
2016-01-25,39.150002,39.150002,39.150002,39.150002,000,38.960664
2016-01-22,39.82,39.82,39.82,39.82,000,39.627422
2016-01-21,39.23,39.23,39.23,39.23,000,39.040275
2016-01-20,38.82,38.82,38.82,38.82,000,38.632258
2016-01-19,39.27,39.27,39.27,39.27,000,39.080083
2016-01-15,39.16,39.16,39.16,39.16,000,38.970614
2016-01-14,39.959999,39.959999,39.959999,39.959999,000,39.766744
2016-01-13,39.360001,39.360001,39.360001,39.360001,000,39.169648
2016-01-12,40.18,40.18,40.18,40.18,000,39.985682
2016-01-11,39.93,39.93,39.93,39.93,000,39.736891
2016-01-08,39.720001,39.720001,39.720001,39.720001,000,39.527907
2016-01-07,40.32,40.32,40.32,40.32,000,40.125004
2016-01-06,41.049999,41.049999,41.049999,41.049999,000,40.851473
2016-01-05,41.810001,41.810001,41.810001,41.810001,000,41.6078
2016-01-04,41.709999,41.709999,41.709999,41.709999,000,41.508281
2015-12-31,41.939999,41.939999,41.939999,41.939999,000,41.737168
2015-12-30,42.389999,42.389999,42.389999,42.389999,000,42.184993
2015-12-29,42.669998,42.669998,42.669998,42.669998,000,42.463637
2015-12-28,42.27,42.27,42.27,42.27,000,42.065574
2015-12-24,42.490002,42.490002,42.490002,42.490002,000,42.284511
2015-12-23,42.599998,42.599998,42.599998,42.599998,000,42.393976
2015-12-22,41.950001,41.950001,41.950001,41.950001,000,41.747122
2015-12-21,41.419998,41.419998,41.419998,41.419998,000,41.219683
2015-12-18,41.060001,41.060001,41.060001,41.060001,000,40.861427
2015-12-17,41.619999,41.619999,41.619999,41.619999,000,41.418716
2015-12-16,42.369999,42.369999,42.369999,42.369999,000,42.165089
2015-12-15,41.75,41.75,41.75,41.75,000,41.548089
2015-12-14,41.740002,41.740002,41.740002,41.740002,000,41.319201
2015-12-11,41.740002,41.740002,41.740002,41.740002,000,41.319201
2015-12-10,42.48,42.48,42.48,42.48,000,42.051739
2015-12-09,42.439999,42.439999,42.439999,42.439999,000,42.012141
2015-12-08,42.639999,42.639999,42.639999,42.639999,000,42.210126
2015-12-07,43.16,43.16,43.16,43.16,000,42.724884
2015-12-04,43.360001,43.360001,43.360001,43.360001,000,42.922868
2015-12-03,42.779999,42.779999,42.779999,42.779999,000,42.348714
2015-12-02,43.279999,43.279999,43.279999,43.279999,000,42.843673
2015-12-01,43.790001,43.790001,43.790001,43.790001,000,43.348533
2015-11-30,43.59,43.59,43.59,43.59,000,43.150549
2015-11-27,43.790001,43.790001,43.790001,43.790001,000,43.348533
2015-11-25,43.849998,43.849998,43.849998,43.849998,000,43.407926
2015-11-24,43.790001,43.790001,43.790001,43.790001,000,43.348533
2015-11-23,43.66,43.66,43.66,43.66,000,43.219843
2015-11-20,43.689999,43.689999,43.689999,43.689999,000,43.249539
2015-11-19,43.540001,43.540001,43.540001,43.540001,000,43.101054
2015-11-18,43.419998,43.419998,43.419998,43.419998,000,42.982261
2015-11-17,42.82,42.82,42.82,42.82,000,42.388311
2015-11-16,42.970001,42.970001,42.970001,42.970001,000,42.5368
2015-11-13,42.259998,42.259998,42.259998,42.259998,000,41.833955
2015-11-12,42.599998,42.599998,42.599998,42.599998,000,42.170528
2015-11-11,43.110001,43.110001,43.110001,43.110001,000,42.675388
2015-11-10,43.419998,43.419998,43.419998,43.419998,000,42.982261
2015-11-09,43.470001,43.470001,43.470001,43.470001,000,43.03176
2015-11-06,44.009998,44.009998,44.009998,44.009998,000,43.566313
