13.92,2/18/99
13.79,2/17/99
13.87,2/16/99
13.77,2/12/99
13.96,2/11/99
13.85,2/10/99
13.87,2/9/99
14.03,2/8/99
14,2/5/99
14.02,2/4/99
14.14,2/3/99
14.05,2/2/99
date price
1-Feb-99,14.19
29-Jan-99,14.06
29-Jan-99,14.06
28-Jan-99,13.99
27-Jan-99,13.86
26-Jan-99,14.05
25-Jan-99,14.06
22-Jan-99,13.99
21-Jan-99,14.23
20-Jan-99,14.45
19-Jan-99,14.45
15-Jan-99,14.45
14-Jan-99,14.16
13-Jan-99,14.45
12-Jan-99,14.61
11-Jan-99,14.92
8-Jan-99,14.92
6-Jan-99,14.93
5-Jan-99,14.65
4-Jan-99,14.49
31-Dec-98,14.47
30-Dec-98,14.36
29-Dec-98,14.34
28-Dec-98,14.25
24-Dec-98,14.25
23-Dec-98,14.24
22-Dec-98,14.09
21-Dec-98,14.2
18-Dec-98,14.04
17-Dec-98,14.05
16-Dec-98,16.35
15-Dec-98,16.32
14-Dec-98,16.24
11-Dec-98,16.59
10-Dec-98,16.66
9-Dec-98,16.91
8-Dec-98,17.02
7-Dec-98,17.1
4-Dec-98,17.1
3-Dec-98,16.93
2-Dec-98,17.21
1-Dec-98,17.32
30-Nov-98,17.32
27-Nov-98,17.62
25-Nov-98,17.66
24-Nov-98,17.6
23-Nov-98,17.61
20-Nov-98,17.42
19-Nov-98,17.36
18-Nov-98,17.32
17-Nov-98,17.34
16-Nov-98,17.29
13-Nov-98,17.19
12-Nov-98,17.04
11-Nov-98,17.12
10-Nov-98,17.19
9-Nov-98,17.28
6-Nov-98,17.46
5-Nov-98,17.4
4-Nov-98,17.22
3-Nov-98,16.9
2-Nov-98,16.82
30-Oct-98,16.48
28-Oct-98,15.93
27-Oct-98,15.96
26-Oct-98,15.98
23-Oct-98,16
22-Oct-98,16.13
21-Oct-98,16.03
20-Oct-98,16.15
19-Oct-98,15.91
16-Oct-98,15.7
15-Oct-98,15.27
14-Oct-98,14.77
13-Oct-98,14.69
12-Oct-98,14.72
9-Oct-98,14.52
8-Oct-98,14.17
7-Oct-98,14.47
6-Oct-98,14.61
5-Oct-98,14.76
2-Oct-98,15.02
1-Oct-98,14.8
30-Sep-98,15.15
29-Sep-98,15.56
28-Sep-98,15.66
25-Sep-98,15.58
24-Sep-98,15.6
23-Sep-98,15.96
22-Sep-98,15.63
21-Sep-98,15.56
18-Sep-98,15.6
17-Sep-98,15.58
16-Sep-98,15.89
15-Sep-98,15.84
14-Sep-98,15.73
11-Sep-98,15.39
10-Sep-98,15.12
9-Sep-98,15.57
8-Sep-98,15.74
4-Sep-98,15.17
3-Sep-98,15.42
2-Sep-98,15.59
1-Sep-98,15.57
31-Aug-98,15.19
28-Aug-98,15.77
27-Aug-98,15.84
26-Aug-98,16.42
25-Aug-98,16.7
24-Aug-98,16.74
21-Aug-98,16.67
20-Aug-98,16.91
19-Aug-98,17.07
18-Aug-98,17.22
17-Aug-98,17.01
14-Aug-98,16.88
13-Aug-98,17.06
12-Aug-98,17.26
11-Aug-98,17.01
10-Aug-98,17.31
7-Aug-98,17.49
6-Aug-98,17.41
5-Aug-98,17.35
4-Aug-98,17.34
3-Aug-98,17.89
31-Jul-98,17.93
30-Jul-98,18.21
29-Jul-98,18.03
28-Jul-98,17.99
27-Jul-98,18.16
24-Jul-98,18.13
23-Jul-98,18.22
22-Jul-98,18.54
21-Jul-98,18.61
20-Jul-98,18.76
17-Jul-98,18.84
16-Jul-98,18.85
15-Jul-98,18.81
14-Jul-98,18.93
13-Jul-98,18.81
10-Jul-98,18.85
9-Jul-98,18.81
8-Jul-98,18.97
7-Jul-98,18.91
6-Jul-98,19.07
2-Jul-98,18.94
1-Jul-98,19.04
30-Jun-98,18.82
29-Jun-98,18.8
26-Jun-98,18.7
25-Jun-98,18.63
24-Jun-98,18.66
23-Jun-98,18.62
22-Jun-98,18.56
19-Jun-98,18.54
18-Jun-98,18.71
17-Jun-98,18.89
16-Jun-98,18.66
15-Jun-98,18.61
12-Jun-98,18.95
11-Jun-98,19.01
10-Jun-98,19.32
9-Jun-98,19.46
8-Jun-98,19.44
5-Jun-98,19.42
4-Jun-98,19.22
3-Jun-98,19.19
2-Jun-98,19.29
1-Jun-98,19.22
29-May-98,19.25
28-May-98,19.3
27-May-98,19.19
22-May-98,19.59
21-May-98,19.67
20-May-98,19.66
19-May-98,19.59
18-May-98,19.57
15-May-98,19.69
14-May-98,19.8
13-May-98,19.77
12-May-98,19.72
11-May-98,19.62
8-May-98,19.59
7-May-98,19.5
6-May-98,19.54
5-May-98,19.63
4-May-98,19.72
1-May-98,19.67
30-Apr-98,19.54
29-Apr-98,19.28
28-Apr-98,19.18
27-Apr-98,19.18
24-Apr-98,19.52
23-Apr-98,19.69
22-Apr-98,19.89
21-Apr-98,19.91
20-Apr-98,19.85
17-Apr-98,19.93
16-Apr-98,19.91
15-Apr-98,20
14-Apr-98,19.82
13-Apr-98,19.65
9-Apr-98,19.62
8-Apr-98,19.44
7-Apr-98,19.48
6-Apr-98,19.67
3-Apr-98,19.67
2-Apr-98,19.64
1-Apr-98,19.6
31-Mar-98,19.62
30-Mar-98,19.57
27-Mar-98,19.66
26-Mar-98,19.7
25-Mar-98,19.68
24-Mar-98,19.7
23-Mar-98,19.58
20-Mar-98,19.63
19-Mar-98,19.56
18-Mar-98,19.51
17-Mar-98,19.48
16-Mar-98,19.41
13-Mar-98,19.24
12-Mar-98,19.25
11-Mar-98,19.2
10-Mar-98,19.09
9-Mar-98,18.93
6-Mar-98,18.99
5-Mar-98,18.72
4-Mar-98,18.93
3-Mar-98,18.97
2-Mar-98,18.9
27-Feb-98,18.88
26-Feb-98,18.82
25-Feb-98,18.72
24-Feb-98,18.51
23-Feb-98,18.64
20-Feb-98,18.62
19-Feb-98,18.59
18-Feb-98,18.61
17-Feb-98,18.52
13-Feb-98,18.43
12-Feb-98,18.44
11-Feb-98,18.38
10-Feb-98,18.38
9-Feb-98,18.22
6-Feb-98,18.15
5-Feb-98,18.01
4-Feb-98,18
3-Feb-98,18
2-Feb-98,17.92
30-Jan-98,17.57
29-Jan-98,17.6
28-Jan-98,17.52
27-Jan-98,17.36
26-Jan-98,17.28
23-Jan-98,17.32
22-Jan-98,17.36
21-Jan-98,17.53
20-Jan-98,17.64
16-Jan-98,17.54
15-Jan-98,17.42
14-Jan-98,17.49
13-Jan-98,17.39
12-Jan-98,17.22
9-Jan-98,17.08
8-Jan-98,17.58
7-Jan-98,17.78
6-Jan-98,17.82
5-Jan-98,17.97
2-Jan-98,17.95
29-Dec-1997,17.95
22-Dec-1997,17.35
15-Dec-1997,17.44
8-Dec-1997,19.58
1-Dec-1997,20.24
24-Nov-1997,19.66
17-Nov-1997,19.76
10-Nov-1997,19.32
3-Nov-1997,19.48
27-Oct-1997,19.31
20-Oct-1997,19.98
13-Oct-1997,20.15
6-Oct-1997,20.65
29-Sep-1997,20.63
22-Sep-1997,20.32
15-Sep-1997,20.49
8-Sep-1997,20.04
1-Sep-1997,20.1
25-Aug-1997,19.75
18-Aug-1997,19.93
11-Aug-1997,19.51
4-Aug-1997,19.82
28-Jul-1997,19.88
21-Jul-1997,19.54
14-Jul-1997,19.16
7-Jul-1997,19.26
30-Jun-1997,19.37
23-Jun-1997,18.86
16-Jun-1997,19.04
9-Jun-1997,18.99
2-Jun-1997,18.36
26-May-1997,18.19
19-May-1997,18.04
12-May-1997,17.82
5-May-1997,17.69
28-Apr-1997,17.45
21-Apr-1997,16.61
14-Apr-1997,16.62
7-Apr-1997,16.15
31-Mar-1997,16.46
24-Mar-1997,16.76
17-Mar-1997,16.95
10-Mar-1997,17.22
3-Mar-1997,17.4
24-Feb-1997,17.03
