dohlcv Date,Open,High,Low,Close,Volume,Adj Close
2016-04-08,6.01,6.01,6.01,6.01,000,6.01
2016-04-07,5.99,5.99,5.99,5.99,000,5.99
2016-04-06,6.06,6.06,6.06,6.06,000,6.06
2016-04-05,5.97,5.97,5.97,5.97,000,5.97
2016-04-04,6.03,6.03,6.03,6.03,000,6.03
2016-04-01,6.06,6.06,6.06,6.06,000,6.06
2016-03-31,6.01,6.01,6.01,6.01,000,6.01
2016-03-30,6.02,6.02,6.02,6.02,000,6.02
2016-03-29,5.99,5.99,5.99,5.99,000,5.99
2016-03-28,5.92,5.92,5.92,5.92,000,5.92
2016-03-24,5.92,5.92,5.92,5.92,000,5.92
2016-03-23,5.93,5.93,5.93,5.93,000,5.93
2016-03-22,5.96,5.96,5.96,5.96,000,5.96
2016-03-21,5.95,5.95,5.95,5.95,000,5.95
2016-03-18,5.95,5.95,5.95,5.95,000,5.95
2016-03-17,5.92,5.92,5.92,5.92,000,5.92
2016-03-16,5.89,5.89,5.89,5.89,000,5.89
2016-03-15,5.87,5.87,5.87,5.87,000,5.87
2016-03-14,5.91,5.91,5.91,5.91,000,5.91
2016-03-11,5.91,5.91,5.91,5.91,000,5.91
2016-03-10,5.80,5.80,5.80,5.80,000,5.80
2016-03-09,5.80,5.80,5.80,5.80,000,5.80
2016-03-08,5.75,5.75,5.75,5.75,000,5.75
2016-03-07,5.84,5.84,5.84,5.84,000,5.84
2016-03-04,5.83,5.83,5.83,5.83,000,5.83
2016-03-03,5.82,5.82,5.82,5.82,000,5.82
2016-03-02,5.81,5.81,5.81,5.81,000,5.81
2016-03-01,5.79,5.79,5.79,5.79,000,5.79
2016-02-29,5.65,5.65,5.65,5.65,000,5.65
2016-02-26,5.71,5.71,5.71,5.71,000,5.71
2016-02-25,5.70,5.70,5.70,5.70,000,5.70
2016-02-24,5.64,5.64,5.64,5.64,000,5.64
2016-02-23,5.62,5.62,5.62,5.62,000,5.62
2016-02-22,5.71,5.71,5.71,5.71,000,5.71
2016-02-19,5.61,5.61,5.61,5.61,000,5.61
2016-02-18,5.59,5.59,5.59,5.59,000,5.59
2016-02-17,5.65,5.65,5.65,5.65,000,5.65
2016-02-16,5.54,5.54,5.54,5.54,000,5.54
2016-02-12,5.47,5.47,5.47,5.47,000,5.47
2016-02-11,5.34,5.34,5.34,5.34,000,5.34
